"a2g-secure.com	cp"
"adform.net	cp"
"adform.net	crtbwp"
"adfox.ru	pr"
"adnear.net	price"
"adnear.net	wp"
"adnxs.com	pp"
"adnxs.com	price_paid"
"adonly.com	wp"
"adscience.nl	price"
"adsniper.ru	winprice"
"adsrvr.org	wp"
"adtarget.me	cp"
"advertexa.ru	pr"
"aeoloscarrentals.com	pr"
"ajillionmax.com	cost"
"amazonaws.com	cost"
"amazonaws.com	price"
"applovin.com	price"
"appturbo.net	price"
"aromatti.com.ua	pr"
"artsource.com.tw	pr"
"assembly.ca.gov	pr"
"asuwebdevilarchive.asu.edu	pr"
"avazutracking.net	price"
"banyuasinkab.go.id	pr"
"bawaslu-jatengprov.go.id	pr"
"blackhatprotools.org	pp"
"bloggagratis.se	pr"
"bloggplatsen.se	pr"
"bluecava.com	pp"
"bnb.com.tw	pr"
"bravejournal.com	cp"
"casalemedia.com	cp"
"chinhua-hotel.com.tw	pr"
"coremetrics.com	pr"
"cornexcapital.com	pr"
"cpmfx.com	pr"
"creative-serving.com	pp"
"criteo.com	z"
"dataxu.net	price"
"depok.go.id	pr"
"doubleclick.net	value"
"doubleclick.net	pr"
"doubleclick.net	rtbwp"
"doubleclick.net	wp"
"dprd-manadokota.go.id	pr"
"dtzads.com	cp"
"dtzads.com	pr"
"expocasa.com	cp"
"famehosted.com	pr"
"fatecriopreto.edu.br	pr"
"foro20.com	pp"
"forocoches.com	pp"
"foroparalelo.com	pp"
"gamer.com.tw	pr"
"get.it	price"
"godlife.com	pp"
"grandprestige.com.ua	pr"
"green.erne.co	wp"
"gscontxt.net	pp"
"gvardija.com.ua	pr"
"gwallet.com	winprice"
"gwallet.com	win_price"
"hotels.com	pr"
"hrcapacity.co.za	pr"
"icecentury.com	price"
"intel.com	cp"
"ioam.de	cp"
"isaev.info	pr"
"jampp.com	pr"
"jembranakab.go.id	pr"
"jntwrk.com	pp"
"kemenperin.go.id	pr"
"kfw001.com	pr"
"kidstaff.com.ua	pr"
"korop-hirurgiya.com.ua	pr"
"ladyslife.com.ua	pr"
"latinchatnet.com	pp"
"lavega.cz	pr"
"lavtour.com.ua	pr"
"lbscek.ac.in	pr"
"levi.com	cp"
"lfstmedia.com	price"
"linkfame.com	pr"
"liverail.com	pp"
"lqm.io	price"
"mail.ru	cp"
"mail.ru	pp"
"mainchat.net	pr"
"manage.com	pr"
"manualidadesmadera.com	cp"
"mathtag.com	price"
"mdotm.com	price"
"mdotm.com	wp"
"mdotm.co	price"
"media.net	bdrct"
"media.net	price"
"mediasmart.es	computedPrice"
"mediasmart.es	priceFloor"
"med-life.com.ua	pr"
"messware.cl	cp"
"metamx.com	charge_price"
"ml314.com	cp"
"mobfox.com	price"
"mopub.com	charge_price"
"mtrtb.com	price"
"myav.com.tw	cp"
"myav.com.tw	pp"
"mygaming.co.za	pp"
"mythings.com	rtbwinprice"
"neodatavalle.com.mx	pp"
"netadge.com	pr"
"nihr.ac.uk	pr"
"nudeinfrance.com	cp"
"nxtck.com	wp"
"obenri.com	pp"
"oysteryachts.com	Price"
"perload.com	wp"
"pertanian.go.id	pr"
"pioneeringad.com	wp"
"playhaven.com	cp"
"playtika.com	cost"
"primo-net.com.tw	pr"
"pubmatic.com	cp"
"pxxtz.com	pp"
"qservz.com	wp"
"quantserve.com	winPrice"
"racalacarta.com	cp"
"radenfatah.ac.id	pr"
"rdsrv.com	cost"
"recoverymisfits.com	pr"
"remerge.io	price"
"revsci.net	price"
"rfihub.com	ep"
"rfihub.com	price"
"rfihub.net	ep"
"rtbfy.com	price"
"rtbserv.com	price"
"rubiconproject.com	price"
"scarabresearch.com	cp"
"selectmedia.asia	price"
"semarangkota.go.id	pr"
"senate.ca.gov	pr"
"servebom.com	cp"
"socialblade.com	pp"
"solostocks.com	pr"
"sourcesite360.com	price"
"spoutable.com	bidFloor"
"startmenubutton.com	price"
"steroid-forums.com	pp"
"stikespanakkukang.ac.id	pr"
"strikead.com	price"
"sums.ac.ir	pr"
"taptapnetworks.com	winPrice"
"taptica.com	pR"
"taptica.com	price"
"taptica.com	tt_bidprice"
"tasikmalayakab.go.id	pr"
"terdir.com	cost"
"thetraveltailor.co.za	pr"
"tlvmedia.com	cost"
"tpbid.com	price"
"ubemogul.com	cp"
"tubemogul.com	pp"
"tubemogul.com	price"
"turn.com	acp"
"ucr.ac.cr	pr"
"ufabc.edu.br	pr"
"ufam.edu.br	pr"
"ultra-all.com.ua	pr"
"umpalembang.ac.id	pr"
"umsida.ac.id	pr"
"univpgri-palembang.ac.id	pr"
"unud.ac.id	pr"
"utorrent.com	pr"
"varisk.co.za	pr"
"w55c.net	wp_exchange"
"webcal.fi	wp"
"webcrawler.com	pp"
"wedpro.com.ua	pr"
"wooga.com	price"
"wtp101.com	pp"
"yhd.com	cp"
"yunmingi.com.tw	pr"
"zemanta.com	price"
"zendesk.com	pr"
"888.hn	pr"
"11870.com	pr"
"invitemedia.com	cost"
"ru4.com	_pp"
"tubemogul.com	x_price"
"bluekai.com	phint"
"pardot.com	title"
"adsvana.com	_p"
"ib.adnxs.com	add_code"
"quantcount.com	p"
"ams1.adnxs.com	pp"
"openx.net	bp"
